sample_ID,otter_region,site,core_letter,layer_number,layer_thickness,layer_volume,sample_volume,pan_number,pan_weight,pan_sediment_ww_pre_60C,pan_sediment_dw_post_60C,pan_sediment_dw_pre_450C,pan_sediment_dw_post450C,crucible_weight,crucible_sediment_dw_pre_950C,crucible_sediment_dw_post_950C
2017Aug22_M08_A,Mid,M08,A,7,0.9,17.6625,17.66250,7,1.28676,30.00836,18.45379,18.45379,16.18262,25.85583,42.90735,36.24903
2017Aug22_M08_A,Mid,M08,A,8,0.9,17.6625,17.66250,8,1.29676,28.75060,16.70819,16.70819,14.53280,,,
2017Aug22_M08_A,Mid,M08,A,9,0.9,17.6625,17.66250,9,1.28858,28.57663,16.16622,16.16622,14.17849,,,
2017Aug22_M08_A,Mid,M08,A,10,0.8,15.7,15.70000,10,1.28758,27.95512,15.99326,15.99326,13.82888,,,
2017Aug22_M08_A,Mid,M08,A,11,0.8,15.7,15.70000,11,1.29405,31.36377,22.16881,22.16881,20.32020,,,
2017Aug22_M08_A,Mid,M08,A,12,0.9,17.6625,17.66250,12,1.28501,30.98365,22.55499,22.55499,20.74073,29.57194,50.99310,47.65769
2017Aug22_M08_A,Mid,M08,A,13,1,19.625,19.62500,13,1.28866,36.45768,25.25290,25.25290,23.13576,,,
2017Aug22_M08_A,Mid,M08,A,14,1,19.625,19.62500,14,1.28271,32.15986,21.93838,21.93838,19.79296,,,
2017Aug22_M08_A,Mid,M08,A,15,0.9,17.6625,17.66250,15,1.30049,32.13550,23.09045,23.09045,21.00101,,,
2017Aug22_M08_A,Mid,M08,A,16,0.9,17.6625,17.66250,16,1.28147,32.13356,22.79587,22.79587,20.28688,,,
2017Aug22_M08_A,Mid,M08,A,17,1,19.625,19.62500,17,1.28899,36.21708,26.88213,26.88213,24.52244,24.59652,49.98712,42.75714
2017Aug22_M08_A,Mid,M08,A,18,0.9,17.6625,17.66250,18,1.29998,33.18968,24.28878,24.28878,21.76751,,,
2017Aug22_M08_A,Mid,M08,A,19,0.9,17.6625,17.66250,19,1.28554,35.22683,26.46217,26.46217,23.93383,,,
2017Aug22_M08_A,Mid,M08,A,20,0.9,17.6625,17.66250,20,1.27845,35.36879,27.27786,27.27786,24.81731,,,
2017Aug22_M08_A,Mid,M08,A,21,0.6,11.775,11.77500,21,1.28702,19.90504,16.16541,16.16541,14.74978,,,
2017Aug22_M08_A,Mid,M08,A,22,1,19.625,19.62500,22,1.29476,43.01749,33.88045,33.88045,31.59354,26.58674,59.11330,39.64537
2017Aug22_M08_A,Mid,M08,A,23,1,19.625,19.62500,23,1.29699,38.91761,29.86146,29.86146,27.42646,,,
2017Aug22_M08_A,Mid,M08,A,24,1,19.625,19.62500,24,1.29531,28.53306,20.93863,20.93863,18.24924,,,
2017July24_H06_A,High,H06,A,1,1.3,25.5125,25.51250,1,1.28734,40.37477,20.61909,20.61909,18.10964,,,
2017July24_H06_A,High,H06,A,2,1.1,21.5875,21.58750,2,1.29193,34.55639,21.85820,21.85820,19.89152,24.85565,45.63490,42.94444
2017July24_H06_A,High,H06,A,3,1.1,21.5875,21.58750,3,1.30293,36.36605,23.25126,23.25126,20.85591,,,
2017July24_H06_A,High,H06,A,4,1.1,21.5875,21.58750,4,1.29728,35.42625,23.34507,23.34507,21.06854,,,
2017July24_H06_A,High,H06,A,5,1.1,21.5875,21.58750,5,1.29565,36.39281,23.62767,23.62767,21.46811,,,
2017July24_H06_A,High,H06,A,6,0.9,17.6625,17.66250,6,1.29274,29.34109,17.69216,17.69216,16.74542,,,
2017July24_H06_A,High,H06,A,7,1.3,25.5125,25.51250,7,1.28584,43.07524,27.19021,27.19021,26.04895,28.13691,55.32712,51.01805
2017July24_H06_A,High,H06,A,8,1.1,21.5875,21.58750,8,1.28115,33.54461,21.52999,21.52999,20.67434,,,
2017July24_H06_A,High,H06,A,9,1.1,21.5875,21.58750,9,1.29037,36.77890,23.38618,23.38618,22.46087,,,
2017July24_H06_A,High,H06,A,10,1.1,21.5875,21.58750,10,1.28662,35.67110,22.40581,22.40581,21.35530,,,
2017July24_H06_A,High,H06,A,11,1.1,21.5875,21.58750,11,1.28526,34.65497,23.37565,23.37565,20.90081,,,
2017July24_H06_A,High,H06,A,12,1.2,23.55,23.55000,12,1.27950,40.41406,28.76956,28.76956,26.31159,28.68026,55.74638,52.03608
2017July24_H06_A,High,H06,A,13,1.1,21.5875,21.58750,13,1.29357,38.49739,28.42158,28.42158,26.18339,,,
2017July24_H06_A,High,H06,A,14,1.2,23.55,23.55000,14,1.28350,38.98153,27.27750,27.27750,24.98793,,,
2017July24_H06_A,High,H06,A,15,1.1,21.5875,21.58750,15,1.29214,36.55845,24.32171,24.32171,22.11558,,,
2017July24_H06_A,High,H06,A,16,1.1,21.5875,21.58750,16,1.28744,33.19788,21.16308,21.16308,17.53705,,,
2017July24_H06_A,High,H06,A,17,1,19.625,19.62500,17,1.28202,19.68686,19.68686,19.68686,17.50331,25.76036,44.20559,41.17408
2017July24_H06_A,High,H06,A,18,1.3,25.5125,25.51250,18,1.29198,25.04663,25.04663,25.04663,22.61170,,,
2017July24_H06_A,High,H06,A,19,1,19.625,19.62500,19,1.29130,17.49275,17.49275,17.49275,15.32896,,,
2017July24_H06_A,High,H06,A,20,1.3,25.5125,25.51250,20,1.28454,24.01746,24.01746,24.01746,22.41670,,,
2017July24_H06_A,High,H06,A,21,0.9,17.6625,17.66250,21,1.28227,18.57781,18.57781,18.57781,15.99294,,,
2017July24_H06_A,High,H06,A,22,1.2,23.55,23.55000,22,1.28628,33.10723,33.10723,33.10723,29.42333,25.90963,56.61356,52.81994
2017April29_H01_A,High,H01,A,1,1,19.625,19.62500,1,1.29750,32.91782,21.43550,21.43550,19.34504,,,
2017April29_H01_A,High,H01,A,2,1,19.625,19.62500,2,1.29017,33.07367,22.18318,22.18318,19.96383,26.91961,47.44278,45.17108
2017April29_H01_A,High,H01,A,3,0.9,17.6625,17.66250,3,1.29366,30.22783,20.37146,20.37146,18.39091,,,
2017April29_H01_A,High,H01,A,4,1,19.625,19.62500,4,1.28849,32.05987,21.15412,21.15412,19.27152,,,
2017April29_H01_A,High,H01,A,5,0.9,17.6625,17.66250,5,1.29530,32.00376,22.68181,22.68181,20.69939,,,
2017April29_H01_A,High,H01,A,6,1,19.625,19.62500,6,1.30059,36.40771,26.79312,26.79312,24.46749,,,
