"","sample_ID","otter_region","site","core_letter","layer_number","layer_thickness","layer_volume","sample_volume","pan_number","pan_weight","pan_sediment_ww_pre_60C","pan_sediment_dw_post_60C","pan_sediment_dw_pre_450C","pan_sediment_dw_post450C","crucible_weight","crucible_sediment_dw_pre_950C","crucible_sediment_dw_post_950C","sed_ww_pre_60C","na.rm","sed_dw_post_60C","dry_bulk_density","sed_dw_pre_450C","sed_dw_post_450C","om_weight","sed_dw_pre_950C","sed_dw_post_950C","im_weight","percent_om","percent_im","om.im_ratio","om_density","im_density"
"20","2017July23_L06_A","Low","L06","A",10,1,19.625,19.625,10,1.28011,37.7601,25.28452,25.28452,11.29277,NA,NA,NA,36.47999,TRUE,24.00441,1.22315464968153,24.00441,10.01266,13.99175,NA,NA,NA,58.2882478677876,NA,NA,17.1140740696815,NA
"21","2017July23_L06_A","Low","L06","A",11,1.1,21.5875,21.5875,11,1.28492,35.10722,24.45962,24.45962,10.96677,NA,NA,NA,33.8223,TRUE,23.1747,1.07352403011002,23.1747,9.68185,13.49285,NA,NA,NA,58.2223286601337,NA,NA,14.48489870967,NA
"22","2017July23_L06_A","Low","L06","A",12,1.1,21.5875,21.5875,12,1.2796,36.41581,24.0124,24.0124,11.07397,27.03366,37.37755,36.47293,35.13621,TRUE,22.7328,1.05305385060799,22.7328,9.79437,12.93843,10.34389,9.43927,0.904620000000001,56.9152502111487,8.74545262952334,14.3026132519732,13.624863532322,0.952613574337002
"23","2017July23_L06_A","Low","L06","A",13,1.1,21.5875,21.5875,13,1.29248,37.06989,25.30367,25.30367,11.02946,NA,NA,NA,35.77741,TRUE,24.01119,1.11227284308049,24.01119,9.73698,14.27421,NA,NA,NA,59.4481572966604,NA,NA,15.8768161394279,NA
"24","2017July23_L06_A","Low","L06","A",14,1.1,21.5875,21.5875,14,1.28497,40.15793,29.06922,29.06922,11.08434,NA,NA,NA,38.87296,TRUE,27.78425,1.2870526925304,27.78425,9.79937,17.98488,NA,NA,NA,64.7304857968093,NA,NA,23.1474882288361,NA
"25","2017July23_L06_A","Low","L06","A",15,1,19.625,19.625,15,1.30373,36.17991,27.3691,27.3691,11.15469,NA,NA,NA,34.87618,TRUE,26.06537,1.32817171974522,26.06537,9.85096,16.21441,NA,NA,NA,62.2067133518534,NA,NA,21.5355208143541,NA
"26","2017July23_L06_A","Low","L06","A",16,1.3,25.5125,25.5125,16,1.28411,45.3992,34.14238,34.14238,11.18173,NA,NA,NA,44.11509,TRUE,32.85827,1.28792827045566,32.85827,9.89762,22.96065,NA,NA,NA,69.8778420166369,NA,NA,29.5716702430377,NA
"27","2017July23_L06_A","Low","L06","A",17,1,19.625,19.625,17,1.27044,36.99406,28.6972,28.6972,11.57455,28.20961,38.73111,38.21217,35.72362,TRUE,27.42676,1.39754191082803,27.42676,10.30411,17.12265,10.5215,10.00256,0.518940000000001,62.4304511360438,4.93218647531246,32.9954329980344,23.9296209994395,0.725240399205096
"28","2017July23_L06_A","Low","L06","A",18,1.1,21.5875,21.5875,18,1.27591,41.85765,32.30245,32.30245,11.94743,NA,NA,NA,40.58174,TRUE,31.02654,1.43724562825709,31.02654,10.67152,20.35502,NA,NA,NA,65.6051883323116,NA,NA,29.2551635080857,NA
"29","2017July23_L06_A","Low","L06","A",19,1.1,21.5875,21.5875,19,1.27407,42.26951,31.5261,31.5261,11.18118,NA,NA,NA,40.99544,TRUE,30.25203,1.40136792125072,30.25203,9.90711,20.34492,NA,NA,NA,67.2514208137437,NA,NA,28.5107182484123,NA
"30","2017July23_L06_A","Low","L06","A",20,1.1,21.5875,21.5875,20,1.27525,34.22254,26.12619,26.12619,11.0349,NA,NA,NA,32.94729,TRUE,24.85094,1.15117266936885,24.85094,9.75965,15.09129,NA,NA,NA,60.7272400963505,NA,NA,17.3726805935194,NA
"31","2017July23_L06_A","Low","L06","A",21,1,19.625,19.625,21,1.28873,44.56082,34.22778,34.22778,10.97885,NA,NA,NA,43.27209,TRUE,32.93905,1.67842292993631,32.93905,9.69012,23.24893,NA,NA,NA,70.5816652271392,NA,NA,39.0215372084841,NA
"32","2017July23_L06_A","Low","L06","A",22,1.2,23.55,23.55,22,1.27349,44.7545,35.86514,35.86514,11.02654,27.1399,37.15038,36.66595,43.48101,TRUE,34.59165,1.46885987261146,34.59165,9.75305,24.8386,10.01048,9.52605,0.484429999999996,71.8051899808191,4.83922848854397,51.2738682575402,36.4844228318471,0.711559788089166
"33","2017July23_L06_A","Low","L06","A",23,1.2,23.55,23.55,23,1.26936,49.19373,39.73353,39.73353,11.05383,NA,NA,NA,47.92437,TRUE,38.46417,1.63329808917197,38.46417,9.78447,28.6797,NA,NA,NA,74.562118459855,NA,NA,46.8424992080255,NA
"34","2017July23_L06_A","Low","L06","A",24,1,19.625,19.625,24,1.26402,38.07285,30.08491,30.08491,11.08657,NA,NA,NA,36.80883,TRUE,28.82089,1.46858038216561,28.82089,9.82255,18.99834,NA,NA,NA,65.918644427705,NA,NA,27.9005894177121,NA
"35","2017July23_L06_A","Low","L06","A",25,1.1,21.5875,21.5875,25,1.27216,46.73594,37.41476,37.41476,11.27969,NA,NA,NA,45.46378,TRUE,36.1426,1.6742374059062,36.1426,10.00753,26.13507,NA,NA,NA,72.3109848212359,NA,NA,43.7563117999768,NA
"36","2017July23_L06_A","Low","L06","A",26,1.3,25.5125,25.5125,26,1.3002,44.06041,32.42995,32.42995,11.08425,NA,NA,NA,42.76021,TRUE,31.12975,1.22017638412543,31.12975,9.78405,21.3457,NA,NA,NA,68.5700977360885,NA,NA,26.0455190426262,NA
"37","2017July23_L06_A","Low","L06","A",27,1.1,21.5875,21.5875,27,1.26125,42.08234,32.28478,32.28478,11.38028,24.97717,35.32026,34.87266,40.82109,TRUE,31.02353,1.43710619571511,31.02353,10.11903,20.9045,10.34309,9.89549,0.447599999999994,67.3827253055987,4.32752688026493,46.7035299374447,30.0419864683266,0.643248733202076
"38","2017July23_L06_A","Low","L06","A",28,1.2,23.55,23.55,28,1.27401,45.51101,35.62807,35.62807,11.1566,NA,NA,NA,44.237,TRUE,34.35406,1.45877112526539,34.35406,9.88259,24.47147,NA,NA,NA,71.2331235376546,NA,NA,35.6982738287983,NA
"39","2017July23_L06_A","Low","L06","A",29,1.1,21.5875,21.5875,29,1.30522,41.45744,31.89644,31.89644,11.55447,NA,NA,NA,40.15222,TRUE,30.59122,1.41708025477707,30.59122,10.24925,20.34197,NA,NA,NA,66.496105745374,NA,NA,28.8262040302675,NA
"40","2017July23_L06_A","Low","L06","A",30,1.1,21.5875,21.5875,30,1.27443,42.65996,33.73925,33.73925,11.26737,NA,NA,NA,41.38553,TRUE,32.46482,1.50387122177186,32.46482,9.99294,22.47188,NA,NA,NA,69.2191732466097,NA,NA,33.7948136311106,NA
"41","2017Aug22_M08_A","Mid","M08","A",1,1.1,21.5875,21.5875,1,1.2987,35.53727,21.28956,21.28956,19.02408,NA,NA,NA,34.23857,TRUE,19.99086,0.926038679791546,19.99086,17.72538,2.26548,NA,NA,NA,11.3325789885978,NA,NA,2.09792210829415,NA
"42","2017Aug22_M08_A","Mid","M08","A",2,1.1,21.5875,21.5875,2,1.28076,33.16456,19.75047,19.75047,17.86721,28.01184,46.80922,45.15714,31.8838,TRUE,18.46971,0.855574290677475,18.46971,16.58645,1.88326,18.79738,17.1453,1.65208000000001,10.1964784503926,8.78888440835906,1.13993269091085,1.61126883866126,1.41347717414245
"43","2017Aug22_M08_A","Mid","M08","A",3,1,19.625,19.625,3,1.29038,26.99028,14.24553,14.24553,12.57679,NA,NA,NA,25.6999,TRUE,12.95515,0.660135031847134,12.95515,11.28641,1.66874,NA,NA,NA,12.8809006456892,NA,NA,1.10159373304459,NA
"44","2017Aug22_M08_A","Mid","M08","A",4,1,19.625,19.625,4,1.2831,27.19499,14.15712,14.15712,12.2234,NA,NA,NA,25.91189,TRUE,12.87402,0.65600101910828,12.87402,10.9403,1.93372,NA,NA,NA,15.0203277608703,NA,NA,1.26852229067006,NA
"45","2017Aug22_M08_A","Mid","M08","A",5,0.9,17.6625,17.6625,5,1.26625,26.34577,13.4209,13.4209,11.54752,NA,NA,NA,25.07952,TRUE,12.15465,0.68816135881104,12.15465,10.28127,1.87338,NA,NA,NA,15.4128666806531,NA,NA,1.28918772636943,NA
"46","2017Aug22_M08_A","Mid","M08","A",6,0.9,17.6625,17.6625,6,1.27614,26.7762,14.22653,14.22653,12.20966,NA,NA,NA,25.50006,TRUE,12.95039,0.733213871196037,12.95039,10.93352,2.01687,NA,NA,NA,15.5738166958679,NA,NA,1.47879706039915,NA
"47","2017Aug22_M08_A","Mid","M08","A",7,0.9,17.6625,17.6625,7,1.28676,30.00836,18.45379,18.45379,16.18262,25.85583,42.90735,36.24903,28.7216,TRUE,17.16703,0.971947912243454,17.16703,14.89586,2.27117,17.05152,10.3932,6.65832,13.2298364947227,39.0482490710506,0.341102560405628,2.20745893984996,6.47154022304883
"48","2017Aug22_M08_A","Mid","M08","A",8,0.9,17.6625,17.6625,8,1.29676,28.7506,16.70819,16.70819,14.5328,NA,NA,NA,27.45384,TRUE,15.41143,0.872550884642604,15.41143,13.23604,2.17539,NA,NA,NA,14.1154325069121,NA,NA,1.89813846894268,NA
"49","2017Aug22_M08_A","Mid","M08","A",9,0.9,17.6625,17.6625,9,1.28858,28.57663,16.16622,16.16622,14.17849,NA,NA,NA,27.28805,TRUE,14.87764,0.842329228591649,14.87764,12.88991,1.98773,NA,NA,NA,13.3605195447665,NA,NA,1.67432307754848,NA
"50","2017Aug22_M08_A","Mid","M08","A",10,0.8,15.7,15.7,10,1.28758,27.95512,15.99326,15.99326,13.82888,NA,NA,NA,26.66754,TRUE,14.70568,0.936667515923567,14.70568,12.5413,2.16438,NA,NA,NA,14.7179865194945,NA,NA,2.02730443811465,NA
"51","2017Aug22_M08_A","Mid","M08","A",11,0.8,15.7,15.7,11,1.29405,31.36377,22.16881,22.16881,20.3202,NA,NA,NA,30.06972,TRUE,20.87476,1.3296025477707,20.87476,19.02615,1.84861,NA,NA,NA,8.85571858071662,NA,NA,2.4579165658344,NA
