otter_region,site,core_letter,layer_number,layer_thickness,layer_volume,sample_volume,pan_number,pan_weight,pan_sediment_ww_pre_60C,pan_sediment_dw_post_60C,sediment_ww_pre_60C,sediment_dw_post_60C,dry_bulk_density,pan_sediment_dw_pre_450C,pan_sediment_dw_post450C,sediment_dw_pre_450C,sediment_dw_post_450C,OM_weight,crucible_weight,crucible_sediment_dw_pre_950C,crucible_sediment_dw_post_950C,sediment_dw_pre_950_C,sediment_dw_post950C,IM_weight
Low,L05,A,26,0.8,15.7,15.7,26,1.28782,37.68366,32.67362,36.39584,31.3858,1.9991,32.67362,29.99898,31.3858,28.71116,2.67464,28.68294,59.37626,55.86641,30.69332,27.18347,3.50985
Low,L05,A,27,0.9,17.6625,17.6625,27,1.28905,42.3408,38.09953,41.05175,36.81048,2.0841,38.09953,36.22883,36.81048,34.93978,1.8707,,,,,,
Low,L05,A,28,1,19.625,19.625,28,1.2812,44.90201,40.37559,43.62081,39.09439,1.99207,40.37559,38.44245,39.09439,37.16125,1.93314,,,,,,
Low,L05,A,29,0.8,15.7,15.7,29,1.28537,36.78506,33.41907,35.49969,32.1337,2.04673,33.41907,31.67126,32.1337,30.38589,1.74781,,,,,,
Low,L05,A,30,0.9,17.6625,17.6625,30,1.28528,42.06188,37.09705,40.7766,35.81177,2.02756,37.09705,34.79639,35.81177,33.51111,2.30066,26.3005,61.55035,57.27148,35.24985,30.97098,4.27887
Low,L05,A,31,0.9,17.6625,17.6625,31,1.28804,40.15832,35.4732,38.87028,34.18516,1.93547,35.4732,33.39701,34.18516,32.10897,2.07619,,,,,,
Mid,M05,B,1,1,19.625,19.625,1,1.27322,46.94349,12.84608,45.67027,11.57286,0.5897,12.84608,10.46088,11.57286,9.18766,2.3852,,,,,,
Mid,M05,B,2,1,19.625,19.625,2,1.25269,25.62122,8.01568,24.36853,6.76299,0.34461,8.01568,6.48711,6.76299,5.23442,1.52857,23.06715,30.39599,27.86273,7.32884,4.79558,2.53326
Mid,M05,B,3,1.3,25.5125,25.5125,3,1.25617,30.84944,10.87921,29.59327,9.62304,0.37719,10.87921,8.96509,9.62304,7.70892,1.91412,,,,,,
Mid,M05,B,4,1.2,23.55,23.55,4,1.2779,32.20044,11.50084,30.92254,10.22294,0.4341,11.50084,9.42506,10.22294,8.14716,2.07578,,,,,,
Mid,M05,B,5,0.9,17.6625,17.6625,5,1.28501,22.46186,8.01569,21.17685,6.73068,0.38107,8.01569,6.37034,6.73068,5.08533,1.64535,,,,,,
Mid,M05,B,6,1,19.625,19.625,6,1.27139,26.04222,9.7407,24.77083,8.46931,0.43156,9.7407,7.90737,8.46931,6.63598,1.83333,,,,,,
Mid,M05,B,7,1.1,21.5875,21.5875,7,1.27618,30.09055,11.65134,28.81437,10.37516,0.48061,11.65134,9.57833,10.37516,8.30215,2.07301,25.01616,35.77247,32.82787,10.75631,7.81171,2.9446
Mid,M05,B,8,0.9,17.6625,17.6625,8,1.27158,25.23155,10.37519,23.95997,9.10361,0.51542,10.37519,8.55817,9.10361,7.28659,1.81702,,,,,,
Mid,M05,B,9,1.1,21.5875,21.5875,9,1.28647,29.47919,12.39509,28.19272,11.10862,0.51459,12.39509,10.35313,11.10862,9.06666,2.04196,,,,,,
Mid,M05,B,10,1,19.625,19.625,10,1.28745,23.8025,9.87107,22.51505,8.58362,0.43738,9.87107,8.12634,8.58362,6.83889,1.74473,,,,,,
Mid,M05,B,11,1.2,23.55,23.55,11,1.29396,33.18507,14.54018,31.89111,13.24622,0.56247,14.54018,12.35576,13.24622,11.0618,2.18442,,,,,,
Mid,M05,B,12,0.9,17.6625,17.6625,12,1.29836,28.8365,14.31644,27.53814,13.01808,0.73705,14.31644,12.31622,13.01808,11.01786,2.00022,27.52039,40.80582,37.82787,13.28543,10.30748,2.97795
Mid,M05,B,13,0.9,17.6625,17.6625,13,1.27788,35.6251,25.74397,34.34722,24.46609,1.3852,25.74397,23.73617,24.46609,22.45829,2.0078,,,,,,
Mid,M05,B,14,1.3,25.5125,25.5125,14,1.29867,44.1291,29.99032,42.83043,28.69165,1.12461,29.99032,27.64247,28.69165,26.3438,2.34785,,,,,,
Mid,M05,B,15,0.9,17.6625,17.6625,15,1.30838,26.96805,16.70491,25.65967,15.39653,0.87171,16.70491,14.75763,15.39653,13.44925,1.94728,,,,,,
Mid,M05,B,16,1.2,23.55,23.55,16,1.28328,58.32656,48.22868,57.04328,46.9454,1.99344,48.22868,46.09352,46.9454,44.81024,2.13516,,,,,,
Mid,M05,B,17,1.1,21.5875,21.5875,17,1.27512,45.92812,37.51286,44.653,36.23774,1.67864,37.51286,35.51341,36.23774,34.23829,1.99945,26.96474,63.11525,58.78252,36.15051,31.81778,4.33273
Mid,M05,B,18,0.9,17.6625,17.6625,18,1.2852,28.0175,17.88002,26.7323,16.59482,0.93955,17.88002,15.71204,16.59482,14.42684,2.16798,,,,,,
Mid,M05,B,19,0.9,17.6625,17.6625,19,1.29478,28.07068,18.30635,26.7759,17.01157,0.96315,18.30635,16.41056,17.01157,15.11578,1.89579,,,,,,
Mid,M05,B,20,1.1,21.5875,21.5875,20,1.26364,23.87968,15.26008,22.61604,13.99644,0.64836,15.26008,13.2738,13.99644,12.01016,1.98628,,,,,,
Mid,M05,B,21,1,19.625,19.625,21,1.28732,22.38135,16.04269,21.09403,14.75537,0.75187,16.04269,14.14376,14.75537,12.85644,1.89893,,,,,,
Mid,M05,B,22,1,19.625,19.625,22,1.2444,36.77738,27.10842,35.53298,25.86402,1.31791,27.10842,24.79226,25.86402,23.54786,2.31616,28.29977,53.70292,48.45562,25.40315,20.15585,5.2473
Mid,M05,B,23,1.1,21.5875,21.5875,23,1.29096,43.52398,33.02,42.23302,31.72904,1.46979,33.02,30.06528,31.72904,28.77432,2.95472,,,,,,
Mid,M05,B,24,1,19.625,19.625,24,1.26475,38.61421,30.35016,37.34946,29.08541,1.48206,30.35016,28.08618,29.08541,26.82143,2.26398,,,,,,
Mid,M05,B,25,1.2,23.55,23.55,25,1.2856,40.05039,27.17153,38.76479,25.88593,1.09919,27.17153,24.86621,25.88593,23.58061,2.30532,,,,,,
Mid,M05,B,26,1.1,21.5875,21.5875,26,1.27886,37.15903,25.21638,35.88017,23.93752,1.10886,25.21638,22.80973,23.93752,21.53087,2.40665,,,,,,
Mid,M05,B,27,1.1,21.5875,21.5875,27,1.29494,39.66752,28.52864,38.37258,27.2337,1.26155,28.52864,26.41248,27.2337,25.11754,2.11616,30.19194,57.33348,50.77441,27.14154,20.58247,6.55907
Mid,M05,B,28,1.1,21.5875,21.5875,28,1.29984,40.06935,28.962,38.76951,27.66216,1.2814,28.962,26.7756,27.66216,25.47576,2.1864,,,,,,
Mid,M05,B,29,1,19.625,19.625,29,1.32775,40.37054,29.96965,39.04279,28.6419,1.45946,29.96965,27.81546,28.6419,26.48771,2.15419,,,,,,
Mid,M05,B,30,1,19.625,19.625,30,1.28435,34.55736,25.30138,33.27301,24.01703,1.2238,25.30138,23.20143,24.01703,21.91708,2.09995,,,,,,
Mid,M05,B,31,1,19.625,19.625,31,1.28065,38.10014,27.32954,36.81949,26.04889,1.32733,27.32954,25.19246,26.04889,23.91181,2.13708,,,,,,
Mid,M05,B,32,1,19.625,19.625,32,1.27008,34.5125,23.26955,33.24242,21.99947,1.12099,23.26955,20.89134,21.99947,19.62126,2.37821,26.52278,48.07885,43.06464,21.55607,16.54186,5.01421
Mid,M05,B,33,1.2,23.55,23.55,33,1.28357,40.96937,25.94162,39.6858,24.65805,1.04705,25.94162,23.47874,24.65805,22.19517,2.46288,,,,,,
Mid,M05,B,34,0.9,17.6625,17.6625,34,1.28303,30.48692,18.40464,29.20389,17.12161,0.96938,18.40464,16.75911,17.12161,15.47608,1.64553,,,,,,
Mid,M05,B,35,1.1,21.5875,21.5875,35,1.29163,43.26284,27.56074,41.97121,26.26911,1.21687,27.56074,25.27328,26.26911,23.98165,2.28746,,,,,,
